URYVR,IL2VL,RIBL,OLQDR,RIR,BWM_VR07,AIAL,RIMR,AIYR,ASJR,ALNL,BAGL,IL1VR,AFDR,OLQDL,RIS,FLPR,BWM_DR07,PVCL,AVKL,IL2DL,AIBR,SIAVL,IL1DR,URXL,ASKL,ALA,BWM_VL07,SMBVR,DB1,AINR,IL1R,IL2DR,RMGL,BWM_DL04,RIVR,SAADR,SIBDR,URYDL,AIML,IL2VR,BWM_VL08,DVC,RMDR,RIBR,ASER,ADLL,BWM_VR06,BWM_VR04,OLLL,URBL,AVBL,AWBR,AVBR,AVDR,BWM_VL04,ASIL,RMER,AVHR,AIZR,DVA,SMBVL,BAGR,AWCR,BWM_VL02,BWM_DL03,RMHR,BWM_VL03,URADR,IL2L,VB2,OLLR,RMHL,IL1L,BWM_VL01,AVFR,URADL,SAAVR,IL2R,URAVR,PVR,BWM_VR05,ASHR,RMEL,URYVL,URXR,SMDDR,AVKR,AVFL,BWM_DR04,RIPL,RIPR,AWBL,AWAL,BWM_DR06,SIADR,AVAL,BWM_DL06,OLQVL,SMDVL,URYDR,BWM_DL07,RMDL,AWCL,AUAL,VA1,RIH,BWM_DL05,RIVL,ASHL,RIAR,RMDDR,SMBDR,RMEV,RIAL,URAVL,BWM_VL06,SIBDL,IL1DL,AVER,SIAVR,AFDL,RIGL,SAAVL,BWM_VL05,ASEL,SMBDL,CEPDR,RMDVR,AIAR,RIFL,AVEL,ASKR,AIMR,RIGR,SMDVR,CEPDL,ASJL,CEPVL,AVDL,RIFR,SABD,OLQVR,BWM_DR02,SIBVR,ADLR,AWAR,ASIR,SABVL,BDUL,VB1,ASGR,RMDDL,BWM_DR03,AIYL,AVJL,FLPL,IL1VL,AIBL,BWM_VR02,excgl,ADFL,ASGL,SIADL,SMDDL,URBR,SIBVL,RICL,SAADL,ADEL,ADAL,AIZL,CEPVR,RIML,AINL,AVHL,RMED,ADFR,PVQL,PVPR,PVT,PVPL,PVCR,PVQR,ALMR,BWM_DL08,BWM_DR08,ALNR,CANL,AVAR,AVJR,AQR,RMDVL,RMGR,AVM,RICR,BDUR,ADER,ADAR,ALML,BWM_VR08,SDQR,RID,BWM_DR05,AUAR,BWM_DR01,BWM_DL02,BWM_DL01,BWM_VR01,BWM_VR03,AVL,Neurons,Other,Muscles,CANR
14024,0,0,0,75706,0,0,52223,45768,63617,0,75932,0,60756,0,159424,3150,0,0,44782,0,48997,0,0,0,0,0,0,0,0,1528,0,0,0,0,46966,0,0,0,0,0,0,176042,0,122382,84486,0,0,0,0,0,104540,108356,0,5862,0,0,0,3515,43252,0,0,0,38999,0,0,0,0,0,0,0,27763,0,0,0,0,0,15362,0,0,0,0,137259,0,0,116119,8863,0,0,0,0,0,0,0,0,0,234249,0,0,0,0,0,0,15241,0,30286,0,0,24342,0,87321,0,55709,0,0,0,0,2267,0,0,0,0,0,26812,0,1176,46704,0,0,152057,0,0,235029,23984,411249,24654,0,0,0,0,0,0,52939,0,0,348905,174621,33725,0,0,0,136481,0,0,0,0,0,0,84747,0,149942,0,0,3836,17254,0,0,0,9447,0,0,0,22610,80738,60788,180762,0,44964,0,143546,68407,0,0,215565,12107,0,0,15249,0,68766,2968,63962,0,65790,0,0,0,204905,37026,0,0,7893,0,0,79955,0,0,0,0,0,68163,0,0,0,0
22225,0,0,0,74057,0,0,59792,49643,77214,0,77355,0,50528,0,160970,0,0,0,31234,0,70147,0,0,0,0,0,0,0,0,1958,0,0,0,0,32991,44714,0,0,0,0,0,158655,0,112738,83253,0,0,0,0,0,99807,81720,0,4992,0,0,0,2727,40574,0,0,0,35954,0,0,0,0,0,0,0,21505,0,0,0,0,0,18815,0,0,0,0,78774,0,0,116346,19887,0,0,0,0,0,0,0,0,0,247558,0,0,0,0,0,0,10122,0,33835,0,0,11502,0,100917,0,0,0,0,0,0,2128,0,0,0,0,0,47969,0,1534,48700,0,0,146994,0,0,259891,25142,432345,24169,0,0,0,0,0,0,57825,0,0,318333,161138,39221,0,0,0,131228,0,0,0,0,0,0,82077,0,135418,0,0,4339,13957,0,0,0,10245,0,0,0,31723,69901,51290,145167,0,42326,0,149788,64327,0,0,219961,11368,0,0,14713,0,71350,3205,60045,0,16153,0,0,0,175754,22255,0,0,8045,0,0,82562,0,0,0,0,0,125141,0,0,0,0
29635,0,0,0,68472,0,0,77490,47192,88094,0,69701,0,50799,0,186009,0,0,0,18183,0,79069,0,0,0,0,0,0,0,0,2818,0,0,0,0,20200,50247,0,0,0,0,0,153136,0,109929,121570,0,0,0,0,0,87461,86419,0,4843,0,0,0,1694,87202,0,0,0,28758,0,0,0,0,0,0,0,10796,0,0,0,0,0,19688,0,0,0,0,59212,0,0,131584,0,0,0,0,0,0,0,0,0,0,229660,0,0,0,0,0,0,9221,0,34430,0,0,0,0,122595,0,0,0,0,0,0,1365,0,0,0,0,0,57955,0,1450,54453,0,0,140601,0,0,229558,34030,445751,28298,0,0,0,0,0,0,57826,0,0,269052,189971,52558,0,0,0,121316,0,0,0,0,0,0,68414,0,98714,0,0,4616,11593,0,0,0,11492,0,0,0,35585,51245,51427,103295,0,36574,0,138955,84535,0,0,213376,9939,0,0,17103,0,83992,3602,52650,0,2605,0,0,0,164988,9035,0,0,8974,0,0,74192,0,0,0,0,0,107738,0,0,0,0
29922,0,0,0,67030,0,0,96401,48155,106739,0,68138,0,50080,0,132447,0,0,0,17992,0,68638,0,0,0,0,0,0,0,0,3725,0,0,0,0,16751,49632,0,0,0,0,0,133562,0,113616,118473,0,0,0,0,0,73632,77578,0,4147,0,0,0,1736,115450,0,0,0,25385,0,0,0,0,0,0,0,0,0,0,0,0,0,30805,0,0,0,0,41884,0,0,148456,0,0,0,0,0,0,0,0,0,0,219841,0,0,0,0,0,0,9797,0,30284,0,0,0,0,149979,0,0,0,0,0,0,1343,0,0,0,0,0,69933,0,1594,57580,0,0,138378,0,0,224647,52096,428082,27053,0,0,0,0,0,0,57154,0,0,259163,186124,56751,0,0,0,118954,0,0,0,0,0,0,58061,0,85766,0,0,5319,4565,0,0,0,12160,0,0,0,28935,35422,52797,85518,0,27898,0,135962,92497,0,0,240527,9605,0,0,18446,0,94179,2879,51469,0,0,0,0,0,146941,4256,0,0,9711,0,0,73121,0,0,0,0,0,95914,0,0,0,0
27791,0,0,0,78532,0,0,110839,51776,111419,0,67322,0,47493,0,114899,0,0,0,22655,0,62696,0,0,0,0,0,0,0,0,4913,0,0,0,0,10390,47215,0,0,0,0,0,107943,0,97069,126992,0,0,0,0,0,51183,59525,0,4590,0,0,0,1578,138027,0,0,0,14716,0,0,0,0,0,0,0,0,0,0,0,0,0,21845,0,0,0,0,30105,0,0,161834,0,0,0,0,0,0,0,0,0,0,180359,0,0,0,0,0,0,6650,0,24167,0,0,0,0,158176,0,0,0,0,0,0,1358,0,0,0,0,0,89606,0,2256,62914,0,0,140535,0,0,196983,107734,407897,29864,0,0,0,0,0,0,42898,0,0,197450,191825,65575,0,0,0,125851,0,0,0,0,0,0,53944,0,86956,0,0,5377,3260,0,0,0,12004,0,0,0,11959,12833,59883,39500,0,46753,0,131112,104780,0,0,259736,8705,0,0,19760,0,162481,2690,54117,0,0,0,0,0,111191,2736,0,0,8812,0,0,71869,0,0,0,0,0,85158,0,0,0,0
18408,0,0,0,76160,0,0,125224,61969,146754,0,63131,0,38941,0,108753,0,0,0,23727,0,44956,0,0,0,0,0,0,0,0,6771,0,0,0,0,2474,58299,0,0,0,0,0,73030,0,93606,117315,0,0,0,0,0,38400,47854,0,5709,0,0,0,2231,141182,0,0,0,13225,0,0,0,0,0,0,0,0,0,0,0,0,0,25072,0,0,0,0,16737,0,0,182213,0,0,0,0,0,0,0,0,0,0,136572,0,0,0,0,0,0,13956,0,0,0,0,0,0,170076,0,0,0,0,0,0,2226,0,0,0,0,0,111622,0,3330,61272,0,0,141745,0,0,147962,133018,377293,28827,0,0,0,0,0,0,39598,0,0,183322,187927,67822,0,0,0,122618,0,0,0,0,0,0,49380,0,81217,0,0,6138,2753,0,0,0,12617,0,0,0,8604,0,59446,33137,0,54765,0,124731,124093,0,0,244421,7189,0,0,20504,0,239894,2449,39333,0,0,0,0,0,66578,2980,0,0,7661,0,0,67684,0,0,0,0,0,65304,0,0,0,0
19270,0,0,0,79098,0,0,148214,54256,138998,0,63851,0,41799,0,82031,0,0,0,17666,0,62757,0,0,0,0,0,0,0,0,8600,0,0,0,0,2639,51913,0,0,0,0,0,82493,0,89921,120831,0,0,0,0,0,22306,40553,0,6359,0,0,0,2013,145970,0,0,0,17086,0,0,0,0,0,0,0,0,0,0,0,0,0,26223,0,0,0,0,0,0,0,203741,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22024,0,0,0,0,0,0,180429,0,0,0,0,0,0,1557,0,0,0,0,0,104413,0,2713,64370,0,0,156114,0,0,134280,193066,368604,23693,0,0,0,0,0,0,38877,0,0,156505,151703,56172,0,0,0,95881,0,0,0,0,0,0,44583,0,54508,0,0,6336,3215,0,0,0,12193,0,0,0,6084,0,52675,8041,0,66412,0,83510,127388,0,0,214054,8042,0,0,20559,0,323280,2084,49522,0,0,0,0,0,32670,1194,0,0,6232,0,0,66637,0,0,0,0,0,0,0,0,0,0
18736,0,0,0,75861,0,0,154320,40214,107782,0,76205,0,42247,0,75926,0,0,0,22019,0,62485,0,0,0,0,0,0,0,0,8426,0,0,0,0,3029,65232,0,0,0,0,0,84619,0,98033,134666,0,0,0,0,0,10582,34444,0,7689,0,0,0,1628,155057,0,0,0,19646,0,0,0,0,0,0,0,0,0,0,0,0,0,26041,0,0,0,0,0,0,0,206528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30983,0,0,0,0,0,0,154859,0,0,0,0,0,0,2375,0,0,0,0,0,96848,0,2466,65408,0,0,157164,0,0,124188,203424,348005,19295,0,0,0,0,0,0,32113,0,0,133651,121744,57715,0,0,0,110339,0,0,0,0,0,0,36899,0,33609,0,0,6576,3059,0,0,0,12028,0,0,0,2024,0,48730,0,0,67973,0,73057,124604,0,0,189177,7245,0,0,20678,0,369955,1819,61992,0,0,0,0,0,46942,0,0,0,5803,0,0,66372,0,0,0,0,0,0,0,0,0,0
21302,0,0,0,75309,0,0,169276,39188,99353,0,85904,0,43252,0,88906,0,0,0,40263,0,76457,0,0,0,0,0,0,0,0,10446,0,0,0,0,5547,36046,0,0,0,0,0,110708,0,95901,116035,0,0,0,0,0,0,19365,0,7456,0,0,0,2195,169518,0,0,0,28448,0,0,0,0,0,0,0,0,0,0,0,0,0,17560,0,0,0,0,0,0,0,225340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37579,0,0,0,0,0,0,154158,0,0,0,0,0,0,1918,0,0,0,0,0,92145,0,3061,66115,0,0,163367,0,0,118764,208100,317270,15193,0,0,0,0,0,0,27581,0,0,111233,93251,49971,0,0,0,119013,0,0,0,0,0,0,27431,0,47442,0,0,6701,3455,0,0,0,11884,0,0,0,0,0,41821,0,0,75207,0,58545,126202,0,0,150450,8025,0,0,18023,0,474196,2099,72290,0,0,0,0,0,12737,0,0,0,3246,0,0,67735,0,0,0,0,0,0,0,0,0,0
26798,0,0,0,57033,0,0,173015,41054,92999,0,75434,0,46604,0,84468,0,0,0,37350,0,80338,0,0,0,0,0,0,0,0,10061,0,0,0,0,7012,25463,0,0,0,0,0,91076,0,87999,136334,0,0,0,0,0,0,6179,0,6490,0,0,0,2677,168145,0,0,0,32573,0,0,0,0,0,0,0,0,0,0,0,0,0,15501,0,0,0,0,0,0,0,232300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53528,0,0,0,0,0,0,147813,0,0,0,0,0,0,2872,0,0,0,0,0,83477,0,4960,66557,0,0,157768,0,0,108932,224430,231165,12399,0,0,0,0,0,0,15485,0,0,92378,71824,44676,0,0,0,95824,0,0,0,0,0,0,23280,0,29269,0,0,7503,3639,0,0,0,10094,0,0,0,0,0,39659,0,0,73593,0,46267,111541,0,0,142790,9639,0,0,20374,0,556464,2592,76021,0,0,0,0,0,7899,0,0,0,2974,0,0,77843,0,0,0,0,0,0,0,0,0,0
