RMGR,AIYR,AIYL,RMEV,AIZL,AIZR,RIAR,RIAL,RIBL,RIH,SAADL,ASGR,AVL,RIR,RIVR,ADFL,RIVL,ADFR,SMBVR,SMBVL,AIAR,PVT,DVC,AVKL,AVKR,ASIR,FLPL,AWAR,AIMR,AIBL,BDUR,SIAVR,SIAVL,BWM_VR07,ASHL,SMDDR,PVQR,RIFR,DVA,PVCR,AWAL,AIAL,BWM_VL07,BWM_VR03,BWM_VR01,BWM_VR02,BWM_VR04,BWM_VL01,BWM_VL04,BWM_VL06,BWM_VL02,BWM_VL08,BWM_VR08,BWM_VR06,BWM_VR05,ASJL,PVQL,AIML,ASGL,RMGL,BDUL,AVBR,BWM_VL03,BWM_VL05,PVCL,AUAL,PVPL,ADLL,AWCR,URBL,AVAL,ALML,AINL,ADLR,AVER,AVEL,SIBDR,RIMR,RIML,RIGL,AVHL,AVJL,SMBDR,SAAVL,ASJR,URBR,ASKL,SMBDL,AVHR,AVJR,BWM_DL06,URYVR,ASER,URXR,BWM_DL07,BWM_DL05,BWM_DL02,BWM_DL04,BWM_DL08,ALA,BWM_DR08,BWM_DR03,BWM_DR07,BWM_DR01,BWM_DL01,BWM_DR05,BWM_DL03,RIS,AVAR,AWCL,RIBR,OLQDR,BWM_DR06,BWM_DR02,BWM_DR04,SIADL,RMEL,URYDR,URYDL,IL2DR,OLQDL,SMDDL,SMDVR,IL2R,IL1L,IL1DL,IL2DL,URADL,IL1VR,IL1DR,RIPL,URADR,URAVR,OLQVR,IL2VR,URAVL,IL1VL,IL2VL,OLQVL,IL1R,OLLL,OLLR,IL2L,RMED,RMER,CEPDL,URYVL,RIPR,URXL,CEPDR,RMDVL,RMDVR,RMDR,RMDL,SIADR,SIBDL,ALMR,AINR,SIBVL,BAGL,BAGR,CEPVR,CEPVL,SIBVR,RID,RICR,RICL,AVDL,AVDR,RIFL,AUAR,ASIL,PVR,AIBR,ASHR,ADAR,AVBL,RIGR,ADAL,AFDR,ASEL,AWBL,AWBR,PVPR,RMDDR,SAADR,SAAVR,ADEL,ADER,SMDVL,RMDDL,AFDL,ASKR,FLPR,CANR,CANL,DB1,excgl,excduct,SABD,Neurons,Muscles,Other,Glia
46844,38533,60911,5591,295437,283810,246644,216726,63471,162112,34105,99680,32248,238921,295193,71248,174989,116941,229140,79847,254188,4976,25492,9005,76750,103811,0,14674,123682,40342,91054,27890,19452,0,54809,208801,40853,105505,46600,33605,19229,258763,22599,0,0,0,0,0,0,0,0,0,0,0,0,285925,178144,102966,191790,96521,18548,9581,0,0,32855,14766,4090,397708,478442,0,26614,72390,38488,363259,16424,62315,38598,39993,196403,20663,17177,23813,285833,47508,65072,0,325184,31601,68897,14640,0,0,20753,0,0,0,0,0,0,108385,0,0,0,0,0,0,0,51805,20101,50144,52691,0,0,0,0,38106,0,0,0,0,0,78266,14794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7859,35403,17129,0,29843,23453,90840,30845,19339,71607,0,20426,22965,28041,2535,219116,125004,94034,44072,61902,14227,304144,40319,257640,160160,103633,10917,93020,71154,79999,27327,79937,12824,17405,40621,24196,21556,0,0,50986,51233,25512,252371,0,28883,55231,0,19836,0,0,0,0,0,0
50251,35331,64241,8236,294607,256481,179490,210879,68533,165387,26257,131101,29177,229028,272583,82867,178730,118796,134187,82181,157194,6963,26783,9413,87454,94246,0,13532,115315,42375,90177,23220,19693,0,65766,195040,35169,104498,18458,16735,12017,220222,0,0,0,0,0,0,0,0,0,0,0,0,0,333472,172107,138788,164581,88564,7685,7483,0,0,30282,18130,6211,373570,396927,0,12818,72378,39497,360173,13736,53881,40477,38798,178187,28414,10994,3579,253692,34154,118733,0,315772,23251,24471,7268,0,0,23571,0,0,0,0,0,0,118546,0,0,0,0,0,0,0,60783,13910,58777,52167,0,0,0,0,22105,0,0,0,0,0,67680,15090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8891,33286,14377,0,33306,13994,80403,21182,19101,74546,0,23698,29276,33753,2492,224186,127383,92458,22726,35658,15439,274689,37190,166497,98154,105774,5400,87936,66776,76712,28301,75446,38410,10748,36974,24764,17820,0,0,54086,53602,28355,212511,0,35627,53519,0,22865,0,0,0,0,0,0
44496,36447,64784,14925,289736,268898,179795,231034,72458,181075,38212,146699,23425,207821,260277,88014,170995,126860,159258,80377,311392,12937,23227,11115,102365,96641,0,6819,92551,76621,100073,24487,19982,0,75321,172159,28051,79978,46402,47903,9462,196870,0,0,0,0,0,0,0,0,0,0,0,0,0,371862,176800,177400,144653,50407,13884,6150,0,0,21418,24448,9177,374090,343352,0,9650,226201,38628,337034,11225,39917,34591,35632,150344,39230,11459,15384,251876,23791,140285,0,295393,28308,26188,7366,0,0,16709,0,0,0,0,0,0,143761,0,0,0,0,0,0,0,61502,6715,64053,49656,0,0,0,0,22677,0,0,0,0,0,57751,13133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8849,33639,2603,0,30745,15942,56194,26430,20249,74818,0,27055,49076,35945,3488,215163,109772,93098,22252,21982,16929,222627,30891,170810,161221,89462,32995,85531,51843,63690,10634,66012,41124,37186,31398,29049,15750,0,0,56098,55603,27318,266343,0,39990,46551,0,32595,0,0,0,0,0,0
42842,42301,76539,25549,259113,280342,190181,237618,69962,167712,40531,178547,19667,157066,263754,94085,165585,139987,175517,60267,345079,18941,20179,20622,124923,119234,0,9508,78724,95947,113573,24699,18212,0,81089,146738,49113,77304,53454,52013,9017,177051,0,0,0,0,0,0,0,0,0,0,0,0,0,364015,198957,185334,114810,35167,20273,8766,0,0,12282,28715,11627,315481,233757,0,8723,22687,48232,339126,7330,36325,27624,38633,121785,38895,9384,18320,168585,18289,179440,0,213551,34372,45875,10784,0,0,15946,0,0,0,0,0,0,138877,0,0,0,0,0,0,0,57010,6685,99412,47890,0,0,0,0,19622,0,0,0,0,0,55460,14205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10538,28761,0,0,28923,18354,36575,29986,23434,79233,0,35158,43268,40840,4851,203738,110795,80660,21015,25692,21745,157685,14547,163941,144827,52743,46710,90594,31502,61675,9622,49721,48255,46335,28385,32109,12770,0,0,57280,59329,16944,269481,0,44013,42839,0,75599,0,0,0,0,0,0
57239,48781,80212,27604,247854,274940,182119,243730,72112,174920,46108,192407,11852,86862,248706,107305,174895,140737,185339,103094,276558,29928,20242,30726,125793,130087,0,11951,70803,104315,112680,25975,16160,0,87538,134393,70809,71119,63287,46664,7889,171464,0,0,0,0,0,0,0,0,0,0,0,0,0,361920,262287,206948,74848,22979,36600,12779,0,0,8314,35194,14811,284953,171180,0,7170,3975,56973,329817,6662,30894,26759,39191,111091,45192,9654,28816,111676,11323,212261,0,125225,41471,58375,11782,0,0,15487,0,0,0,0,0,0,145250,0,0,0,0,0,0,0,46258,5821,105939,48558,0,0,0,0,16121,0,0,0,0,0,52458,13992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13440,22944,0,0,26919,22372,16817,33971,25267,79844,0,27000,44159,42733,14063,187393,96233,59273,13611,28630,24311,87677,12149,164779,71260,19241,53578,91936,9025,48864,8636,43683,53272,48343,22328,32802,9672,0,0,66185,58833,11468,224166,0,47264,48008,0,116930,0,0,0,0,0,0
65335,53358,89139,26455,231245,301901,164566,247290,66257,184137,58295,205512,7991,59995,255346,123507,194239,152056,192942,140565,168470,34458,20861,41711,115717,148602,0,11928,68740,140067,103943,31352,16910,0,91969,107893,76113,43003,75400,39685,8582,80376,0,0,0,0,0,0,0,0,0,0,0,0,0,213022,305904,236903,46808,4981,43127,10864,0,0,7839,37352,15543,216986,108446,0,11056,0,66632,324104,6242,28250,29819,37742,97072,44092,12358,35380,49935,8506,242603,0,46377,56434,65449,13143,0,0,32076,0,0,0,0,0,0,151270,0,0,0,0,0,0,0,20361,6226,111952,48490,0,0,0,0,12549,0,0,0,0,0,47010,13543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14762,13341,0,0,23899,26262,0,33845,14551,81067,0,29335,47834,36093,17767,174072,68937,38544,9857,28913,33010,50598,7941,186641,46345,11137,58542,90813,3725,36598,6959,33453,53312,48353,19503,30487,7444,0,0,67681,57166,5840,208354,0,45304,52169,0,154204,0,0,0,0,0,0
57495,34860,71262,126899,211899,341112,142789,174061,60434,186917,55930,190388,5357,11496,246429,122639,166148,163703,222073,183759,209391,43901,19600,52240,119292,142523,0,12794,108058,163553,152022,33498,20647,0,79915,77868,101971,19172,77452,43104,23956,48786,0,0,0,0,0,0,0,0,0,0,0,0,0,230586,346329,247302,31654,3799,48249,8779,0,0,5668,38428,17668,0,93094,0,6783,0,55317,281243,7226,16563,26841,42631,89536,43293,12584,2904,41060,7604,287918,0,12115,83661,59702,15203,0,0,55829,0,0,0,0,0,0,43779,0,0,0,0,0,0,0,6896,8170,123474,55348,0,0,0,0,7880,0,0,0,0,0,37327,12236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12826,8362,0,0,11350,27778,14192,37444,35577,79350,0,45662,56747,41683,19371,160329,104761,5067,6729,40671,51449,29594,10362,177744,38808,8402,61442,97535,7938,33811,25198,13174,45807,39841,17708,26928,5253,0,0,9782,50062,5265,306122,0,41280,0,6878,166144,0,0,0,0,0,0
34219,36749,80674,110498,129979,301957,73284,163070,44732,175033,54721,196735,5048,12923,224430,107950,171846,165187,216628,195753,182728,45290,18665,52454,111881,133056,0,10011,133679,161255,151834,40966,25082,0,72398,69878,79772,13326,87181,39776,29311,47044,0,0,0,0,0,0,0,0,0,0,0,0,0,188420,397712,215432,39608,3553,49367,5406,0,0,5727,23048,19259,0,60936,0,7346,0,39269,271434,7511,15057,28637,45550,85449,29197,17214,2705,53080,6226,342276,0,4597,126201,51804,13474,0,0,74592,0,0,0,0,0,0,46222,0,0,0,0,0,0,0,7126,7798,116140,67716,0,0,0,0,8105,0,0,0,0,0,32108,10733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12013,6564,0,0,14697,26158,11246,26293,37829,73226,0,37844,66412,35140,21034,126739,95174,4782,5827,54965,47784,46706,11448,169561,36184,8719,60552,71466,17563,31768,34657,7529,35760,34827,16280,26328,2852,0,0,9562,43169,6200,246832,0,40306,0,9693,196452,0,0,0,0,0,0
24982,41682,78009,64375,65688,300484,24275,168700,38071,119177,55106,197866,2903,15106,231446,112324,143329,178319,167925,181592,177932,11593,19590,57937,74296,126856,0,24187,149774,88467,142863,46110,31011,0,78810,10239,51679,13875,98129,40933,36102,26036,0,0,0,0,0,0,0,0,0,0,0,0,0,135897,373741,178284,49112,5016,49663,7642,0,0,6311,26961,20545,0,46174,0,5883,0,37906,216173,11416,10823,32587,49553,82704,0,21358,2664,107903,6169,265589,0,3757,124459,43008,13645,0,0,87120,0,0,0,0,0,0,50004,0,0,0,0,0,0,0,7808,9802,117305,77681,0,0,0,0,11925,0,0,0,0,0,25923,10408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5957,0,0,28077,27340,10649,25068,45327,60414,0,42067,84046,29723,24003,79633,92342,5493,5712,59741,53618,63920,14890,167096,38119,10585,64613,35064,21410,34241,47094,7237,21304,32754,0,22034,2918,0,0,12459,40108,6510,94641,0,37431,0,12849,202755,0,0,0,0,0,0
0,35244,89517,94310,47836,254597,20728,143621,19813,156176,47047,37661,5737,15680,208662,96251,188157,149839,203391,259676,12131,50313,16842,52388,90827,99592,0,48166,10780,148360,140203,58389,34225,0,72711,56035,7413,0,98346,37298,35479,28033,0,0,0,0,0,0,0,0,0,0,0,0,0,95022,389712,137530,45980,7212,44916,9455,0,0,7067,24570,20507,0,41633,0,8851,0,29681,5713,12343,8870,33300,47036,64685,22966,21026,2574,129745,4618,8178,0,5445,149033,33981,14445,0,0,96975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8968,10976,90179,73672,0,0,0,0,14742,0,0,0,0,0,19928,9020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9868,4893,0,0,28830,23470,11024,16926,51653,49685,0,0,62388,20451,23630,60238,77052,0,5377,60186,50323,74975,17732,155637,43419,12239,59683,44762,23223,27983,49343,11318,3931,23131,14783,29151,1803,0,0,9498,31523,5090,6044,0,0,0,14014,254319,0,0,0,0,0,0
