AWBL,SABD,VAn3,VAn6,VAn7,VAn5,VAn4,VAn2,VAn1,AWBR,CANL,PVDL,CANR,excgl,RMFR,SMDDR,SMDDL,SAADR,URXR,RIH,RIGL,ADER,ADEL,FLPR,FLPL,ASKL,AIAL,URAVR,URYVR,IL1VR,RMDR,RMHR,URAVL,PVR,AVM,BWM_DL08,BWM_DL04,BWM_DL05,BWM_DL07,BWM_DL03,BWM_DL01,BWM_DL02,BWM_DL06,AVAL,URXL,IL2VL,IL1VL,RIBL,OLQVL,CEPDL,BWM_DR07,BWM_DR05,AIBR,URBL,URYDR,OLQDR,BWM_DR01,BWM_DR03,CEPDR,BWM_DR06,BWM_DR02,BWM_DR04,AVAR,OLQVR,OLLR,IL2R,IL2L,IL1L,SAAVL,AVJL,AVHL,RIVL,ALNL,SDQL,ALMR,RMDDL,ALNR,IL1R,AINR,AVJR,AVHR,SDQR,SMBDL,CEPVL,RIMR,RMFL,ADAR,BAGL,ASER,BWM_VR08,BWM_VL06,BWM_VL02,RMDVL,SIAVR,AVDL,PVCR,RIFR,BDUR,AVBR,AVFR,AVFL,ASHR,AIAR,ASKR,PVQR,RMGR,ASJR,AIMR,ASGR,PVPR,AVBL,BWM_DR08,URBR,RMDL,URYVL,BAGR,AVKR,AVKL,SIADR,SIBDR,ADFR,AWAR,AWCR,ASIR,AINL,AFDR,AUAR,AIYR,SMBDR,SMBVR,PVPL,AQR,PVCL,SAAVR,SAADL,SMDVR,RMDVR,SIAVL,RMHL,RICL,SIBVR,RID,AVDR,ALML,BDUL,ASHL,ADFL,RMGL,PVQL,AIML,ASJL,AIBL,AUAL,AFDL,ASGL,BWM_VL04,BWM_VL01,BWM_VL03,BWM_VL08,BWM_VL07,BWM_VL05,AVEL,ADLL,AVER,ALA,ADLR,BWM_VR06,BWM_VR02,BWM_VR04,BWM_VR07,BWM_VR05,BWM_VR01,BWM_VR03,AWCL,RMEV,CEPVR,AIZR,RICR,ASIL,DVA,RIGR,DVC,PVT,ADAL,RIML,SIBVL,SIBDL,SIADL,RIR,AVL,RIVR,RIS,SMDVL,RIAR,RIAL,RIBR,IL2VR,URADR,IL2DR,IL1DR,OLLL,RIPR,SMBVL,AIZL,AIYL,AWAL,ASEL,RIFL,RMEL,RIPL,RMED,RMER,RMDDR,URYDL,IL1DL,URADL,OLQDL,IL2DL,Other,Neurons,Muscles
22954,2631,8190,2552,0,1267,524,0,0,14498,0,0,0,34174,6673,8148,13160,0,0,7365,19568,5415,19167,42925,18483,0,10007,0,0,0,0,0,0,0,22482,0,0,0,0,0,0,0,0,15644,0,0,0,23460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25026,0,0,0,0,0,8680,4299,5074,0,0,19002,0,0,0,0,0,5348,4034,4694,10025,0,128006,0,7804,0,11871,0,0,0,0,6876,5013,7055,27881,1943,17928,5116,12274,8233,8397,0,41456,15115,17577,4070,10869,18042,24987,0,0,0,0,0,8150,5954,1693,0,11503,7567,0,17661,0,0,3016,18514,4019,32301,2774,52334,5858,3612,0,1762,0,7042,6103,6831,4767,24455,10840,0,3141,3860,19563,3933,23915,3604,0,0,36122,0,12294,0,0,0,0,0,0,2351,0,12128,0,0,0,0,0,0,0,0,0,0,2423,0,7243,5261,0,51381,18710,4809,3215,818,58854,19009,7707,9025,0,4912,6417,10524,6894,0,0,14554,0,0,0,0,0,0,15479,5456,33579,20436,16265,31705,0,0,0,0,0,0,0,0,0,0,0,0,0
20911,2516,8729,4437,0,1984,509,0,0,15748,0,0,0,35051,6832,7930,13744,0,0,7152,17296,11020,25211,41179,15418,0,10441,0,0,0,0,0,0,0,27381,0,0,0,0,0,0,0,0,15822,0,0,0,14117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27391,0,0,0,0,0,8760,4626,4971,0,0,19850,0,0,0,0,0,5456,6525,3270,11399,0,132604,0,8641,0,10870,0,0,0,0,7171,5383,6252,27610,1736,16243,5207,10342,7668,10199,0,41712,15645,15844,4139,13304,17402,27680,0,0,0,0,0,7121,7014,1613,0,13076,8243,0,16485,0,0,3514,15992,4249,33390,2756,45108,6471,3901,0,1698,0,6485,6578,7011,6115,22850,11411,0,2934,3863,30848,3779,23141,3676,0,0,38023,0,13224,0,0,0,0,0,0,2493,0,10876,0,0,0,0,0,0,0,0,0,0,2477,0,7075,5096,0,49226,14802,2349,3785,916,52650,22116,3966,7398,0,3798,5632,11415,7202,0,0,16874,0,0,0,0,0,0,15047,5626,30490,22133,17593,33133,0,0,0,0,0,0,0,0,0,0,0,0,0
18968,3499,8629,4596,0,2038,522,0,0,14561,0,0,0,35443,7293,7761,3278,0,0,6971,14113,17271,33397,43142,18137,0,10513,0,0,0,0,0,0,0,35863,0,0,0,0,0,0,0,0,13972,0,0,0,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29282,0,0,0,0,0,8251,3724,4951,0,0,21004,0,0,0,0,0,6163,7764,1791,10770,0,130434,0,8305,0,10581,0,0,0,0,7323,5342,5576,26472,1469,20885,5589,8242,6851,10988,0,40636,14957,12239,3838,15451,16683,40742,0,0,0,0,0,6499,7171,1616,0,14538,8736,0,15373,0,0,4149,14143,4966,35010,2408,36437,4170,3748,0,1890,0,6641,6967,6796,7446,21618,10323,0,3164,4224,40341,3710,21643,4024,0,0,27245,0,13984,0,0,0,0,0,0,2540,0,9407,0,0,0,0,0,0,0,0,0,0,2545,0,7590,5840,0,46945,7126,2388,4128,1678,45383,22800,0,4973,0,2628,4553,15349,7293,0,0,14737,0,0,0,0,0,0,15376,5254,26554,24136,18627,33096,0,0,0,0,0,0,0,0,0,0,0,0,0
8340,2287,8310,4107,0,1905,644,0,0,13030,0,0,0,37459,8209,6932,9487,0,0,7052,12536,25103,48937,45157,18363,0,11354,0,0,0,0,0,0,0,39565,0,0,0,0,0,0,0,0,10643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18344,0,0,0,0,0,8052,3860,5305,0,0,20920,0,0,0,0,0,6568,8378,0,9556,0,101257,0,7720,0,11362,0,0,0,0,8113,5673,5250,26720,2515,25488,5593,6436,5680,12046,0,39170,13963,9130,4140,16102,15456,47644,0,0,0,0,0,5774,6917,1613,0,15720,9511,0,0,0,0,3536,13032,5765,35426,2124,29621,3464,3971,0,1980,0,6817,7188,6813,9345,20317,9467,0,3183,3730,40908,3980,19516,3985,0,0,3879,0,15704,0,0,0,0,0,0,2317,0,7776,0,0,0,0,0,0,0,0,0,0,3105,0,6163,5723,0,45397,4399,1968,4671,2804,41311,23189,0,3540,0,1498,3714,20235,8027,0,0,13975,0,0,0,0,0,0,15736,7068,21302,28619,15353,33414,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2150,7909,3734,0,1182,904,0,0,11751,0,0,0,40498,9192,6495,0,0,0,6980,10758,29239,58722,42694,16668,0,11976,0,0,0,0,0,0,0,44298,0,0,0,0,0,0,0,0,9624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12949,0,0,0,0,0,8778,4139,5104,0,0,19976,0,0,0,0,0,6815,8939,0,7237,0,99419,0,6797,0,14494,0,0,0,0,8696,6663,5206,26576,3271,31248,5999,4338,4877,12300,0,36867,13524,8541,4187,18067,13300,53559,0,0,0,0,0,5413,6508,1551,0,17471,9373,0,0,0,0,3343,11889,5917,35776,1838,24693,4055,4565,0,2089,0,6631,7729,6809,9926,20597,8569,0,3612,3765,39765,4370,17872,4188,0,0,0,0,16685,0,0,0,0,0,0,2509,0,6439,0,0,0,0,0,0,0,0,0,0,1257,0,4971,6471,0,44904,3580,2010,5142,2841,34834,23297,0,2727,0,900,2972,24411,7558,0,0,14752,0,0,0,0,0,0,16196,9987,16486,36437,14212,32814,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2241,7298,3174,339,714,1132,0,0,9686,0,0,0,44188,9448,7045,0,0,0,7081,10525,32739,59833,41046,15415,0,12459,0,0,0,0,0,0,0,52265,0,0,0,0,0,0,0,0,9612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11247,0,0,0,0,0,9680,4116,4737,0,0,19458,0,0,0,0,0,7020,8654,0,5274,0,95642,0,5415,0,14962,0,0,0,0,10312,7152,5020,27098,4092,37213,5962,2274,4768,13071,0,33240,12011,12045,4385,19541,11227,60149,0,0,0,0,0,5051,6136,1530,0,19414,9323,0,0,0,0,2936,10733,5447,35218,1641,19400,3631,4943,0,2510,0,7194,7511,6816,10896,20110,8050,0,3726,4508,33488,5004,15500,4407,0,0,0,0,19945,0,0,0,0,0,0,2557,0,5272,0,0,0,0,0,0,0,0,0,0,670,0,4212,7121,0,43347,3211,1979,5169,3392,24333,21907,0,2126,0,584,2433,25199,7410,0,0,15467,0,0,0,0,0,0,17288,13092,13342,36555,15417,31368,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1755,6632,3012,1691,455,1760,0,0,7695,0,0,0,49209,0,6664,0,0,0,8736,10083,36875,62406,39908,15294,0,12560,0,0,0,0,0,0,0,57574,0,0,0,0,0,0,0,0,10274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10897,0,0,0,0,0,10906,4230,4458,0,0,16718,0,0,0,0,0,7502,9600,0,4232,0,91953,0,5112,0,15523,0,0,0,0,10398,8050,5298,26573,4100,44528,6092,2503,4707,13297,0,30728,10437,6376,4558,21134,10227,66871,0,0,0,0,0,5039,6056,1584,0,18160,9865,0,0,0,0,2952,9727,4983,34905,1507,15860,3474,5346,0,3156,0,7576,0,7059,11690,18474,6798,0,3671,4870,24271,5822,13950,4344,0,0,0,0,23394,0,0,0,0,0,0,2585,0,4542,0,0,0,0,0,0,0,0,0,0,284,0,4481,8494,0,44167,2760,1826,5258,3905,13689,19270,0,1685,0,541,2713,29318,6792,0,0,18809,0,0,0,0,0,0,17601,16380,9172,35224,22818,30210,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2749,5852,1260,1655,373,2271,1291,9666,8063,0,0,0,53521,0,6456,0,0,0,7582,9465,41289,64995,35775,15449,0,13332,0,0,0,0,0,0,0,58827,0,0,0,0,0,0,0,0,10590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9974,0,0,0,0,0,11060,4207,3552,0,0,14639,0,0,0,0,0,7435,10118,0,3700,0,88467,0,4290,0,19084,0,0,0,0,10322,7657,6374,24974,4083,51666,6206,3253,4616,14056,0,25701,9965,0,5108,21985,8906,78207,0,0,0,0,0,4168,5245,1588,0,13832,11755,0,0,0,0,3252,9414,4955,34023,1412,12711,3899,5844,0,3892,0,7788,0,7925,11606,17315,7794,0,3769,4063,4078,7162,11040,4513,0,0,0,0,30669,0,0,0,0,0,0,2540,0,3689,0,0,0,0,0,0,0,0,0,0,331,0,5618,10658,0,42543,2334,2118,4943,4725,3611,16584,0,1556,0,527,2990,37035,6677,0,0,23620,0,0,0,0,0,0,16800,17708,5104,32093,0,27928,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1858,5636,521,1105,597,2159,1881,8183,0,0,0,0,59719,0,6531,0,0,0,7237,9537,47079,65431,36022,15875,0,12422,0,0,0,0,0,0,0,62798,0,0,0,0,0,0,0,0,11481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9172,0,0,0,0,0,12608,4458,3388,0,0,13139,0,0,0,0,0,8843,10026,0,3521,0,85730,0,3429,0,20628,0,0,0,0,10604,6996,7042,24202,4235,59700,5969,4037,4711,15409,0,20983,11069,0,6053,23340,7491,78608,0,0,0,0,0,3926,5029,1558,0,9699,14337,0,0,0,0,3865,8820,4563,33400,1020,11801,4444,6545,0,5321,0,7915,0,9221,12816,16625,8432,0,3642,3871,0,8775,9313,4823,0,0,0,0,42189,0,0,0,0,0,0,2881,0,3187,0,0,0,0,0,0,0,0,0,0,530,0,6419,13198,0,41936,2121,2381,4968,5257,0,14193,0,1451,0,604,3096,43090,6577,0,0,24373,0,0,0,0,0,0,15756,25289,3922,20409,0,27136,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2115,5124,325,371,962,1607,1918,7421,0,0,0,0,61814,9663,6158,0,0,0,7042,9958,49648,61278,33296,15465,0,11534,0,0,0,0,0,0,0,62340,0,0,0,0,0,0,0,0,11386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8146,0,0,0,0,0,13435,4403,3245,0,0,10648,0,0,0,0,0,9786,9051,0,3337,0,73279,0,3248,0,23472,0,0,0,0,10453,5801,6813,24909,3994,65023,5323,4232,4397,16038,0,17269,10741,0,7077,23977,5612,70978,0,0,0,0,0,3559,4593,1627,0,6957,16346,0,0,0,0,4088,8261,4161,30625,883,9571,5516,6761,0,6605,0,7037,0,10187,12379,16272,8370,0,3544,3435,0,9117,7439,5284,0,0,0,0,44559,0,0,0,0,0,0,3035,0,2560,0,0,0,0,0,0,0,0,0,0,1022,0,7365,13968,0,38454,2009,2685,4627,5031,0,11268,0,1330,0,744,2908,43569,5710,0,0,21449,0,0,0,0,0,0,15244,30820,3189,29879,0,24268,0,0,0,0,0,0,0,0,0,0,0,0,0
