IL1L,BWM_DR06,IL2VR,IL2VL,BWM_VL05,CEPVR,CEPVL,OLQVL,BWM_VL06,SAADR,RIH,RIR,SMBVR,AIAL,BDUL,BDUR,RID,RMED,RIGR,AIYR,SIAVR,SIAVL,SIADL,SMBDL,SMBDR,AIBR,RIMR,RIBR,RICR,AVBR,SAADL,AVL,BWM_VL07,BWM_VR01,BWM_VR04,BWM_VR02,BWM_VR03,BWM_VL02,BWM_VL01,BWM_VL03,AWCL,AWBL,ASIL,AWAL,URADL,IL1DR,URYDR,OLQDR,URYDL,IL1DL,URBL,OLQDL,URYVL,URAVL,URAVR,IL1VL,IL1VR,OLQVR,RIPR,URYVR,RMER,BWM_VR05,BAGR,BAGL,BWM_DL05,BWM_DL06,RMDVR,RMEL,RMDVL,SMDVR,AVAR,SAAVR,RMDR,RMEV,CEPDR,CEPDL,AVAL,RMDL,URXL,AVEL,AFDL,ADFL,SMDDR,SIBVL,SMDDL,AWBR,ASHR,ASKL,RIAL,SMDVL,RMDDR,AWCR,ADFR,AVER,SIBDR,RMDDL,RIAR,AFDR,SAAVL,ASKR,SIBVR,ADLR,AWAR,AIBL,ASHL,AUAL,AUAR,AIAR,SIADR,ASGR,ASER,ADLL,AVHR,ASGL,ASJL,RIBL,ASEL,AVBL,BWM_DR07,AVJR,RIVR,AVDR,RIVL,AVJL,AIMR,AIZR,AVHL,RIML,FLPR,RIS,AVDL,RICL,AINR,AIML,RIFR,RIFL,ADER,AIYL,FLPL,AIZL,AINL,ADEL,AVKL,AVKR,ADAR,ADAL,RMGR,RMGL,RIGL,SIBDL,ASJR,ALMR,ALML,BWM_VL08,BWM_DR04,BWM_DR02,BWM_DL02,IL1R,BWM_DR01,URBR,RIPL,URXR,BWM_DL01,SMBVL,BWM_VR06,BWM_VR08,BWM_DR03,BWM_DR05,BWM_DR08,BWM_DL08,BWM_DL03,BWM_VR07,URADR,OLLL,IL2L,BWM_DL04,PVQR,PVPR,ALA,IL2DL,BWM_VL04,ASIR,OLLR,IL2DR,IL2R,PVT,PVPL,PVQL,PVCL,DVC,DVA,PVCR,PVR,Other,Glia,Neurons,Muscles,excgl,SABD,DB1,DA1,CANR
0,0,0,0,0,0,0,0,0,0,0,0,59709,2478,1617,18922,23488,0,22328,4011,9725,18657,4720,3590,1114,0,0,0,0,1205,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34797,6092,25302,0,11114,0,0,5299,0,0,3413,0,0,9611,10263,5866,0,0,0,0,40641,0,0,0,7709,0,0,0,0,0,0,22514,0,0,0,0,0,0,2873,1491,0,0,0,18162,0,0,0,0,8207,0,2229,0,2176,0,2585,11526,0,1192,0,9559,39603,7382,0,0,6313,2211,1381,33266,5563,10745,0,0,56160,4045,3413,5401,7305,4986,4223,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29671,0,0,0,0,0,0,0,0,0,0,0,0,8592,1080,0,0,0,0,0,0,0,1633,4388,2495,33681,4295,13429,7052,5321,0,0,0,0,18428,3564,841,9256,0
0,0,0,0,0,0,0,0,0,0,0,0,54583,2374,2055,17179,16820,0,24799,3175,10715,23969,4852,3174,993,0,0,0,0,1833,0,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38557,5701,16692,0,10827,0,0,5720,0,0,4820,0,0,10993,9898,6643,0,0,0,0,43256,0,0,0,7477,0,0,0,0,0,0,28838,0,0,0,0,0,0,1286,1340,0,0,0,16087,0,0,0,0,4402,0,2481,0,2409,0,4887,8102,0,896,0,7545,37348,8481,0,0,4194,1758,1553,31022,5261,12012,0,0,62569,4658,3450,5132,7359,8041,6077,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34438,0,0,0,0,0,0,0,0,0,0,0,0,9921,1094,0,0,0,0,0,0,0,1579,3847,2830,32856,4508,12468,8317,5646,0,0,0,0,17915,4898,776,10283,0
0,0,0,0,0,0,0,0,0,0,0,0,48152,3150,2240,15114,18416,0,25900,3007,11168,26139,4653,2781,1232,0,0,0,0,1842,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39832,5061,5655,0,10251,0,0,6151,0,0,5975,0,0,11372,9491,6268,0,0,0,0,40674,0,0,0,7375,0,0,0,0,0,0,30313,0,0,0,0,0,0,1340,1372,0,0,0,13543,0,0,0,0,2561,0,2921,0,3286,0,7134,3714,0,593,0,6694,35267,9129,0,0,2432,1952,1782,28486,5165,13767,0,0,71446,4267,3623,4714,7593,12440,9632,1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37070,0,0,0,0,0,0,0,0,0,0,0,0,9425,1321,0,0,0,0,0,0,0,1930,3508,2848,33106,4513,13507,8397,6800,0,0,0,0,18722,6037,713,10541,0
0,0,0,0,0,0,0,0,0,0,0,0,40255,3292,2293,14101,17951,0,27143,3513,14412,30828,5165,3585,1344,0,0,0,0,2389,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39379,4702,0,0,10382,0,0,6599,0,0,7715,0,0,11805,8785,6147,0,0,0,0,34994,0,0,0,6892,0,0,0,0,0,0,31514,0,0,0,0,0,0,988,1834,0,0,0,12110,0,0,0,0,1564,0,2817,0,3927,0,9137,1992,0,573,0,5870,34483,9888,0,0,1560,2090,2900,26258,4958,14608,0,0,81534,5116,4331,4026,8541,16870,10824,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36190,0,0,0,0,0,0,0,0,0,0,0,0,8168,1351,0,0,0,0,0,0,0,2865,3149,2619,33192,4615,17455,8173,9335,0,0,0,0,19276,7632,744,11629,0
0,0,0,0,0,0,0,0,0,0,0,0,29544,1961,2485,12367,17626,0,27468,3643,23576,33306,5203,4193,1790,0,0,0,0,2667,0,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37446,4333,0,0,9394,0,0,7356,0,0,8553,0,0,12572,7894,6307,0,0,0,0,22589,0,0,0,6565,0,0,0,0,0,0,30086,0,0,0,0,0,0,966,1853,0,0,0,9255,0,0,0,0,813,0,3319,0,5568,0,9916,1914,0,572,0,5723,31336,8645,0,0,1241,2553,3377,22748,4877,14068,0,0,82902,5359,4365,3657,9551,18494,11529,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33303,0,0,0,0,0,0,0,0,0,0,0,0,6431,1817,0,0,0,0,0,0,0,3649,2144,2657,31671,4895,19779,7389,12080,0,0,0,0,17278,7780,984,13004,0
0,0,0,0,0,0,0,0,0,0,0,0,20152,2095,2851,9309,16638,0,28268,4511,31622,36043,4998,4396,2085,0,0,0,0,3107,0,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34875,4281,0,0,7650,0,0,7965,0,0,9265,0,0,14437,8027,6095,0,0,0,0,9107,0,0,0,6350,0,0,0,0,0,0,30490,0,0,0,0,0,0,1001,2127,0,0,0,6611,0,0,0,0,706,0,3518,0,6501,0,10228,1866,0,587,0,5602,30070,7556,0,0,1198,3556,4808,19738,4876,12651,0,0,82817,5563,4598,3531,10822,20276,11705,4562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28227,0,0,0,0,0,0,0,0,0,0,0,0,5670,1986,0,0,0,0,0,0,0,5032,1752,2556,32441,5116,21986,6519,15841,0,0,0,0,15092,7756,926,14460,0
0,0,0,0,0,0,0,0,0,0,0,0,14645,3254,3193,7510,0,0,29448,5383,39226,36747,4599,5707,2462,0,0,0,0,2933,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32422,4757,0,0,6298,0,0,9055,0,0,9027,0,0,17157,7774,5922,0,0,0,0,2762,0,0,0,6257,0,0,0,0,0,0,31837,0,0,0,0,0,0,825,2619,0,0,0,3587,0,0,0,0,593,0,3435,0,7126,0,10672,2320,0,763,0,5449,27674,6184,0,0,1628,4449,6284,17004,4653,8997,0,0,83153,5856,5082,3105,12934,21098,11322,8503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22775,0,0,0,0,0,0,0,0,0,0,0,0,3861,1938,0,0,0,0,0,0,0,6424,1414,2747,35055,5445,24305,4911,20264,0,0,0,0,13932,8452,1015,16180,0
0,0,0,0,0,0,0,0,0,0,0,0,3147,2452,4000,6644,0,0,30068,5945,44494,37791,4837,5130,2940,0,0,0,0,2900,0,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30470,5866,0,0,6018,0,0,10507,0,0,8765,0,0,21621,7633,6681,0,0,0,0,0,0,0,0,6666,0,0,0,0,0,0,35120,0,0,0,0,0,0,793,3027,0,0,0,2720,0,0,0,0,739,0,3695,0,6973,0,10076,2267,0,1420,0,6070,25030,4852,0,0,1948,5561,6724,15352,4397,7296,0,0,81749,6286,4782,2443,15480,21885,10290,12410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10036,0,0,0,0,0,0,0,0,0,0,0,0,2319,2259,0,0,0,0,0,0,0,7838,1241,3002,37325,5775,30381,3146,20492,0,0,0,0,14344,9221,1159,17582,0
0,0,0,0,0,0,0,0,0,0,0,0,2998,2441,8091,6125,0,0,32987,6260,44288,42551,4989,6033,3611,0,0,0,0,3101,0,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37958,7498,0,0,6906,0,0,12315,0,0,8458,0,0,27573,7687,8437,0,0,0,0,0,0,0,0,6519,0,0,0,0,0,0,37967,0,0,0,0,0,0,1007,3431,0,0,0,1481,0,0,0,0,645,0,3696,0,7321,0,9067,1955,0,3187,0,5085,23893,3034,0,0,1907,7166,7596,13080,4839,6729,0,0,81034,7769,5547,2440,19711,22631,9247,14292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111,0,0,0,0,0,0,0,0,0,0,0,0,1345,1945,0,0,0,0,0,0,0,9505,1372,3269,39739,6995,30744,2353,23604,0,0,0,0,15238,12512,1021,17937,0
0,0,0,0,0,0,0,0,0,0,0,0,2471,2182,10463,6954,0,0,30174,6217,43608,41068,4251,7352,4391,0,0,0,0,2270,0,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8549,0,0,8002,0,0,12244,0,0,7249,0,0,30684,7163,8577,0,0,0,0,0,0,0,0,6564,0,0,0,0,0,0,32351,0,0,0,0,0,0,1260,3590,0,0,0,1062,0,0,0,0,786,0,3434,0,6879,0,8238,1903,0,4741,0,4973,21132,1803,0,0,2303,7636,6825,11579,4325,5926,0,0,67145,7759,5647,2162,21805,19906,6219,14105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10919,0,0,0,0,0,0,0,0,0,0,0,0,992,1369,0,0,0,0,0,0,0,10495,1779,3436,39219,7509,37932,1484,18046,0,0,0,0,15747,13994,871,17124,0
0,0,0,0,0,0,0,0,0,0,0,0,2716,2539,13717,6257,0,0,31354,5942,38232,42641,4330,8352,5807,0,0,0,0,1787,0,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10864,0,0,10199,0,0,13730,0,0,7031,0,0,39412,7589,10571,0,0,0,0,0,0,0,0,7169,0,0,0,0,0,0,2236,0,0,0,0,0,0,1289,4905,0,0,0,690,0,0,0,0,1217,0,3214,0,6593,0,8782,1630,0,6341,0,5210,20533,966,0,0,2313,8164,7428,11713,4422,4385,0,0,62798,8546,5514,1660,22944,19323,5186,15508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11752,0,0,0,0,0,0,0,0,0,0,0,0,893,858,0,0,0,0,0,0,0,12935,2963,3419,40614,7214,44743,1812,19696,0,0,0,0,16615,16530,667,19976,0
