,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,BDUL,BDUR,DVC,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,HSNL,HSNR,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DR01,BWM-VL01,BWM-VR01,BWM-DL02,BWM-DR02,BWM-VL02,BWM-VR02,BWM-DL03,BWM-DR03,BWM-VL03,BWM-VR03,BWM-DL04,BWM-DR04,BWM-VL04,BWM-VR04,BWM-DL05,BWM-DR05,BWM-VL05,BWM-VR05,BWM-DL06,BWM-DR06,BWM-VL06,BWM-VR06,BWM-DL07,BWM-DR07,BWM-VL07,BWM-VR07,BWM-DL08,BWM-DR08,BWM-VL08,BWM-VR08,CANL,CANR,CEPshDL,CEPshDR,CEPshVL,CEPshVR,GLRDL,GLRDR,GLRL,GLRR,GLRVL,GLRVR,excgl
ADFL,0.0,252120.0,0.0,0.0,390600.0,0.0,0.0,0.0,0.0,0.0,41760.0,634620.0,37680.0,0.0,0.0,458580.0,0.0,9960.0,0.0,0.0,0.0,0.0,0.0,496620.0,48540.0,0.0,700020.0,0.0,978060.0,142260.0,27300.0,0.0,0.0,0.0,108780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907320.0,0.0,0.0,0.0,46740.0,0.0,237960.0,0.0,131820.0,0.0,123360.0,14760.0,0.0,0.0,568800.0,0.0,1932840.0,112260.0,0.0,0.0,39720.0,0.0,0.0,76740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20760.0,23760.0,0.0,0.0,517620.0,0.0,138180.0,0.0,83880.0,0.0,24600.0,0.0,0.0,123120.0,23880.0,0.0,0.0,1175940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,0.0,0.0,33600.0,1380.0,190980.0,0.0,720960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24240.0,0.0,0.0,0.0,0.0,0.0,386760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20460.0,0.0,9960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFR,252120.0,0.0,0.0,0.0,0.0,226320.0,0.0,0.0,0.0,0.0,33360.0,2520.0,449340.0,0.0,0.0,0.0,144900.0,0.0,24720.0,0.0,0.0,0.0,0.0,84780.0,1130700.0,57840.0,0.0,181680.0,68880.0,1164840.0,0.0,11280.0,3420.0,0.0,81480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104780.0,0.0,0.0,0.0,5760.0,0.0,112320.0,0.0,161280.0,58380.0,252840.0,0.0,0.0,0.0,236520.0,56940.0,1984260.0,0.0,0.0,0.0,103440.0,0.0,0.0,5580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26160.0,0.0,0.0,0.0,590400.0,0.0,268920.0,0.0,196500.0,0.0,91500.0,0.0,0.0,26040.0,0.0,0.0,990360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180960.0,0.0,25320.0,0.0,288780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20280.0,0.0,0.0,0.0,40800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLL,0.0,0.0,0.0,81420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47640.0,0.0,0.0,0.0,321120.0,0.0,105120.0,0.0,62940.0,8700.0,1497240.0,259980.0,0.0,0.0,0.0,433500.0,0.0,338460.0,0.0,838380.0,660.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,112380.0,0.0,0.0,0.0,112020.0,0.0,28740.0,0.0,68160.0,0.0,0.0,0.0,0.0,0.0,3180.0,0.0,0.0,0.0,240.0,0.0,2040.0,0.0,26820.0,0.0,16620.0,0.0,195300.0,0.0,627420.0,0.0,305040.0,0.0,47100.0,0.0,0.0,0.0,0.0,0.0,222840.0,0.0,0.0,0.0,105000.0,104820.0,0.0,0.0,0.0,0.0,0.0,0.0,70440.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32760.0,0.0,31800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10260.0,0.0,0.0,0.0,0.0,401460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,367980.0,0.0,0.0,0.0,167460.0,144360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752580.0,0.0,0.0,0.0,2280.0,0.0,17160.0,0.0,0.0,0.0,0.0,0.0,9120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLR,0.0,0.0,81420.0,0.0,0.0,5580.0,0.0,91260.0,0.0,420.0,13020.0,0.0,131160.0,0.0,0.0,0.0,884340.0,0.0,300360.0,0.0,61260.0,0.0,1358220.0,0.0,0.0,0.0,0.0,964380.0,0.0,324060.0,213000.0,652380.0,0.0,0.0,0.0,0.0,0.0,0.0,16140.0,0.0,41160.0,0.0,0.0,0.0,42660.0,0.0,14100.0,0.0,78360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,46740.0,0.0,18420.0,0.0,57360.0,0.0,309600.0,0.0,654240.0,0.0,269940.0,0.0,0.0,0.0,6420.0,0.0,6420.0,0.0,91620.0,0.0,0.0,0.0,89520.0,0.0,0.0,0.0,0.0,0.0,17280.0,133620.0,0.0,0.0,0.0,13620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35400.0,0.0,12540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.0,0.0,0.0,0.0,36540.0,0.0,0.0,0.0,0.0,0.0,0.0,627240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425700.0,0.0,0.0,168960.0,6900.0,12540.0,118620.0,0.0,0.0,0.0,0.0,0.0,0.0,61560.0,0.0,0.0,0.0,621180.0,0.0,0.0,0.0,0.0,0.0,59940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDL,390600.0,0.0,0.0,0.0,0.0,28620.0,0.0,0.0,0.0,0.0,0.0,196920.0,715320.0,0.0,0.0,0.0,0.0,148980.0,0.0,0.0,0.0,16260.0,0.0,2048460.0,139080.0,0.0,25920.0,0.0,0.0,0.0,699180.0,347880.0,0.0,679380.0,0.0,0.0,0.0,0.0,0.0,64620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172080.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545400.0,0.0,742080.0,1436820.0,2879280.0,13620.0,378540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70560.0,0.0,0.0,0.0,14400.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,9360.0,0.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDR,0.0,226320.0,0.0,5580.0,28620.0,0.0,0.0,0.0,0.0,0.0,0.0,532020.0,885960.0,0.0,0.0,0.0,0.0,0.0,227880.0,0.0,0.0,0.0,0.0,0.0,2012400.0,240780.0,0.0,119460.0,0.0,41760.0,46920.0,187140.0,474180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,482880.0,1909620.0,59820.0,0.0,2866800.0,0.0,392220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,27540.0,0.0,0.0,0.0,0.0,0.0,0.0,47040.0,0.0,0.0,56280.0,0.0,6180.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76620.0,0.0,0.0,0.0,0.0,0.0,0.0,21840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283380.0,0.0,0.0,0.0,0.0,135540.0,0.0,216480.0,0.0,0.0,0.0,9960.0,0.0,426840.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380.0,0.0,170340.0,196380.0,96120.0,0.0,676980.0,0.0,0.0,0.0,421860.0,0.0,0.0,0.0,0.0,443940.0,0.0,0.0,0.0,0.0,0.0,515340.0,0.0,0.0,0.0,0.0,0.0,0.0,33660.0,0.0,0.0,0.0,0.0,123600.0,0.0,0.0,0.0,58860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,235380.0,0.0,0.0,0.0,159600.0,0.0,40500.0,0.0,198840.0,0.0,0.0,0.0,5700.0,5400.0,0.0,0.0,0.0,0.0,0.0,84300.0,0.0,290520.0,0.0,0.0,0.0,0.0,179880.0,0.0,140760.0,97560.0,0.0,0.0,0.0,158700.0,0.0,364980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALMR,0.0,0.0,0.0,91260.0,0.0,0.0,0.0,0.0,0.0,1560.0,37560.0,0.0,0.0,0.0,0.0,0.0,12120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,24780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95220.0,0.0,0.0,0.0,0.0,606120.0,0.0,280140.0,0.0,106500.0,0.0,5100.0,0.0,8580.0,0.0,592740.0,0.0,0.0,0.0,0.0,0.0,93960.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,250080.0,213780.0,310020.0,0.0,98880.0,0.0,738120.0,0.0,617700.0,75600.0,0.0,0.0,0.0,61500.0,430920.0,0.0,0.0,0.0,0.0,0.0,0.0,401460.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,0.0,0.0,3060.0,0.0,34440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274620.0,0.0,0.0,7980.0,267960.0,0.0,38820.0,0.0,316440.0,0.0,0.0,19980.0,63360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26400.0,0.0,309780.0,47820.0,0.0,0.0,16620.0,198000.0,231360.0,15780.0,0.0,0.0,0.0,0.0,100500.0,0.0,419400.0,0.0,0.0,0.0,0.0,26940.0,0.0,0.0,0.0,0.0,18060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73620.0
ALNL,0.0,0.0,0.0,0.0,0.0,0.0,76620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184560.0,84780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410160.0,0.0,0.0,0.0,49560.0,134940.0,0.0,0.0,0.0,0.0,0.0,153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNR,0.0,0.0,0.0,420.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,0.0,0.0,221760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176760.0,0.0,0.0,0.0,130440.0,0.0,0.0,0.0,399840.0,0.0,0.0,0.0,338820.0,0.0,0.0,135540.0,0.0,0.0,0.0,0.0,0.0,191640.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
