RMFR,RMFL,BWM_VL02,BWM_DR06,BWM_DL03,BWM_VL01,BWM_VL07,AVFR,ADAR,RMDVR,OLQVL,URBR,URXR,CEPDR,RMEV,RICR,RMEL,OLLL,IL1DR,URXL,OLLR,RMER,RIGL,ADEL,AUAR,PVPR,DVA,AVAR,RMDR,FLPR,RMDVL,BAGR,AIYR,SAADR,BAGL,RIPL,RMGL,AIBR,SAAVR,ASHR,BDUR,IL1VR,SIBVL,RMHL,RIMR,RIBR,BWM_DR02,OLQVR,CEPDL,URAVR,BWM_DL07,BWM_DL05,IL2DL,IL1DL,BWM_DL01,RMGR,IL2R,URYDR,ALNL,PVR,URADR,IL2DR,OLQDR,AVDR,URYVR,ALNR,ADER,SDQL,RIAR,IL1R,AVEL,BWM_VL04,BWM_VL08,RIVL,BWM_VR04,BWM_VR02,ADLR,BWM_VL06,ALA,CEPVL,BWM_VL03,IL1VL,AVER,AIZL,RIVR,AVL,CEPVR,BWM_VR05,RMDDR,SAADL,BWM_VR03,BWM_VR01,BWM_VR07,BWM_VR08,BWM_VR06,ALMR,ALML,RMDDL,AVJL,AWBR,ADAL,BWM_VL05,ASIR,SMDDL,RMHR,SIBDR,BDUL,AVDL,SMBDR,AFDL,PVCR,AVHL,SIAVR,SDQR,AIBL,SMDDR,SMBVR,PVT,SIADR,DVC,SIBVR,ASJR,PVQR,ASGR,ASER,RIFR,AWCR,AFDR,FLPL,RIH,AVBR,AWAR,AIMR,AVM,SMBDL,PVCL,AIZR,AIAR,AINL,AINR,AIYL,AVJR,ASHL,AUAL,AWBL,PVPL,PVQL,ASJL,ASGL,ASEL,AWAL,SIBDL,AIML,ASKL,AIAL,SMBVL,SIADL,SMDVR,RIML,ADFL,BWM_DL08,OLQDL,URYDL,BWM_DL06,URYVL,URBL,BWM_DL04,AWCL,RMDL,AQR,URADL,BWM_DL02,RMED,BWM_DR04,BWM_DR08,RICL,RIS,BWM_DR01,BWM_DR07,BWM_DR03,BWM_DR05,RIGR,IL2VL,IL2VR,RIPR,IL2L,IL1L,URAVL,SAAVL,ADFR,AVAL,RID,AVHR,AVKR,AVKL,SIAVL,RIBL,ADLL,RIR,AVBL,ASKR,RIAL,SMDVL,RIFL,ASIL,AVFL,Muscles,Other,excgl,VB1,SABD,VA3,VA2,DB1,VA1,VB2,Neurons,CANL,CANR
0,0,0,0,0,4429,14908,16979,11444,1496,0,0,0,0,0,9147,0,0,0,15525,0,0,25208,1189,4891,1361,45323,3134,6342,0,1996,26525,14337,10288,11552,0,7037,34034,23678,9889,6101,0,5924,3735,4900,13540,0,0,0,0,0,0,0,0,0,8200,0,0,10455,24617,0,0,0,3631,0,553,14319,3399,45985,0,10926,0,0,21487,0,0,107561,0,33832,36163,7819,0,17524,23306,33132,5649,15545,0,20276,5689,0,0,0,0,0,4399,29363,3465,11842,4315,6062,10845,50814,48320,2490,5921,1181,16763,39505,13594,9654,5488,8978,7883,32112,46394,19238,7300,12518,5411,5921,48983,69741,32774,71458,7002,30787,19443,0,20381,13992,6946,15409,0,10711,4200,55262,64756,13540,7849,38139,8133,21054,21062,4933,1625,19854,4116,0,68569,16743,3686,16794,8917,24516,24253,3310,8131,20075,10963,0,0,0,0,7980,0,0,37917,0,15245,0,0,2700,0,0,23795,12124,0,0,0,0,7009,0,0,0,0,0,0,16573,6640,8308,4621,9083,15685,8249,8962,7789,101852,35358,21343,67248,45223,10750,23356,23665,25661,0,0,0,0,0,0,0,0,0,0,0,0,7237
0,0,0,0,0,4478,16402,17037,11435,1646,0,0,0,0,0,9623,0,0,0,13747,0,0,25518,2054,4830,832,44204,3005,5586,0,1932,25038,12975,7489,11202,0,8129,33821,23513,9392,6454,0,5014,3848,5161,13378,0,0,0,0,0,0,0,0,0,8331,0,0,12133,23276,0,0,0,4709,0,441,16060,5609,47744,0,9728,0,0,25473,0,0,94537,0,33077,36239,7224,0,14251,24416,32799,5137,15827,0,16643,5638,0,0,0,0,0,4415,30681,3561,9463,4459,5217,10210,44269,49309,2613,5600,1269,17177,40100,12813,8519,5372,8881,7206,35113,44045,18871,6138,11433,5560,5954,51258,69651,32513,68947,6251,34318,20300,0,20503,13521,9136,21504,0,10223,4460,54940,60381,13234,9354,33242,7904,21538,20738,4593,1814,18688,3436,0,68272,15087,3979,16737,8772,24184,24257,2821,5736,18060,10823,0,0,0,0,5023,0,0,42396,0,15392,0,0,468,0,0,23730,12294,0,0,0,0,7339,0,0,0,0,0,0,16899,7297,8373,5557,7899,15047,8967,9476,7760,104820,38255,20894,67787,39486,9609,22529,23832,24205,0,0,0,0,0,0,0,0,0,0,0,0,7244
0,0,0,0,0,4772,14491,17189,11584,1628,0,0,0,0,0,9139,0,0,0,12245,0,0,25637,1542,4676,1030,43236,3329,5057,0,1691,23872,12936,7189,11254,0,8702,34572,23020,7045,6975,0,4308,3876,5325,13515,0,0,0,0,0,0,0,0,0,8227,0,0,13222,20743,0,0,0,5654,0,704,17004,7823,69963,0,7573,0,0,32343,0,0,91099,0,20799,34568,7589,0,12728,24643,33203,4851,14544,0,15570,4804,0,0,0,0,0,5884,32011,3484,11852,4977,6034,11801,40255,50401,2825,5920,1579,17702,40261,13198,7461,4185,8780,8713,40470,41838,18288,4814,10842,5879,6497,53559,67505,31584,66710,5904,37092,19091,0,20985,12957,11717,25312,0,9831,4650,54508,55966,14332,11028,28910,7745,21163,20291,4000,2395,3566,958,0,62642,14116,4282,11752,2803,24405,14481,2497,5354,17713,10021,0,0,0,0,2657,0,0,36888,0,14202,0,0,0,0,0,23999,13167,0,0,0,0,7863,0,0,0,0,0,0,17247,7238,8508,6212,7617,14939,9165,9388,7383,82208,40741,21087,70117,39475,9785,20560,24681,25020,0,0,0,0,0,0,0,0,0,0,0,0,6997
0,0,0,0,0,4136,14127,19096,12190,1876,0,0,0,0,0,9279,0,0,0,10275,0,0,26574,1600,5324,910,42506,2957,4158,0,1912,19005,10442,6835,10184,0,9472,34390,21300,8337,6525,0,3948,3981,5836,13750,0,0,0,0,0,0,0,0,0,7625,0,0,15205,17946,0,0,0,6113,0,1877,16242,10608,44197,0,8246,0,0,34129,0,0,86643,0,32954,33209,7006,0,11587,23526,34279,4846,13960,0,11631,5696,0,0,0,0,0,7132,29584,3377,9413,6117,6689,12554,36173,52435,2669,5629,1959,15608,41781,11707,6412,4084,8835,10101,50730,40172,17408,3268,10470,6610,6999,66046,66529,31021,62316,5581,39530,19482,0,20323,11654,13561,27025,0,10201,4480,54382,51656,15009,12584,22691,6544,19577,20170,2376,2701,19724,7839,0,47874,9726,4516,14138,10777,24010,23367,2048,6585,18230,10267,0,0,0,0,974,0,0,54849,0,13620,0,0,0,0,0,23332,14288,0,0,0,0,8431,0,0,0,0,0,0,17565,7350,9049,6945,7224,14076,9120,9749,7184,109735,42195,20499,64827,35661,7719,18421,25700,25444,0,0,0,0,0,0,0,0,0,0,0,0,7082
0,0,0,0,0,0,13864,19299,11762,2299,0,0,0,0,0,9275,0,0,0,9142,0,0,25615,3001,5313,1033,42765,2733,2851,0,1834,19691,9650,6855,8192,0,8957,33955,20584,7837,6360,0,3060,4077,6136,12663,0,0,0,0,0,0,0,0,0,6518,0,0,16472,16293,0,0,0,8724,0,4391,16272,11440,46661,0,7843,0,0,38216,0,0,79478,0,33351,32151,6513,0,9039,27290,35695,4277,11738,0,7810,6153,0,0,0,0,0,7929,29066,3164,6732,7493,9060,13822,31330,54714,2621,5738,1548,17209,40176,13252,852,4096,8772,14140,63379,36982,13872,2044,9433,7903,7960,65441,71278,29780,60445,4870,42196,18745,0,21212,11861,14603,30591,0,7976,4183,51400,48331,14100,15806,19106,6526,19090,20544,2940,2965,19263,10631,0,37299,11076,4931,12293,10111,23147,20903,2600,5045,18089,10151,0,0,0,0,0,0,0,61500,0,12644,0,0,0,0,0,22156,15184,0,0,0,0,7607,0,0,0,0,0,0,17667,6936,9000,7381,7736,13656,9339,9810,6214,115905,41444,21162,63980,32921,5505,13046,24262,22521,0,0,0,0,0,0,0,0,0,0,0,0,6608
0,0,0,0,0,0,13150,20414,12012,2440,0,0,0,0,0,9184,0,0,0,9110,0,0,24862,2006,5184,1071,43506,2971,2501,0,1838,19240,8360,7136,6816,0,10354,32460,18626,7863,5305,0,2610,4108,6527,12187,0,0,0,0,0,0,0,0,0,5769,0,0,16972,13914,0,0,0,10600,0,5892,17033,11179,41080,0,7871,0,0,41320,0,0,66796,0,31804,30606,6155,0,8092,27317,35344,4271,9010,0,5991,6214,0,0,0,0,0,9391,27507,2850,6290,8204,13156,14743,25526,53625,2482,5959,1852,16881,24761,13340,627,5418,8816,17667,65615,36147,12311,1761,8110,8524,8501,64010,69465,27219,56043,5809,51394,19010,0,20965,10574,14965,33207,0,7897,3551,47928,45250,13904,20052,16036,7601,18541,19262,2642,3316,19056,13625,0,31160,11366,4761,10224,10466,21968,18809,2788,5022,17728,10152,0,0,0,0,0,0,0,60651,0,13434,0,0,0,0,0,22119,16894,0,0,0,0,7239,0,0,0,0,0,0,17603,7329,9052,7428,8989,12773,9625,10119,6141,113181,38284,19433,64614,32720,6655,14289,23385,22476,0,0,0,0,0,0,0,0,0,0,0,0,6505
0,0,0,0,0,0,13151,21392,12597,2698,0,0,0,0,0,9501,0,0,0,9331,0,0,23802,3053,5122,1216,43085,2999,1777,0,1770,19081,6622,7753,5166,0,10173,31820,17416,7365,4788,0,2423,4096,7126,12353,0,0,0,0,0,0,0,0,0,2578,0,0,19167,13230,0,0,0,11752,0,6828,17431,10842,37377,0,7565,0,0,41882,0,0,60149,0,30375,28470,6327,0,7427,27585,36233,4146,6529,0,5970,6435,0,0,0,0,0,11462,24343,2737,6560,8845,20805,14627,16046,54769,2621,6502,2135,16978,16646,13739,753,5618,9122,18597,64462,34555,10172,1275,7705,9625,8992,63065,72058,22743,53925,5763,59327,19217,0,21107,9379,15329,34343,0,7857,2805,52730,38380,14026,24953,15279,11840,18028,18285,2440,2918,15792,12430,0,28396,9910,4325,9031,7619,20247,18868,4197,4438,17546,9178,0,0,0,0,0,0,0,50985,0,14252,0,0,0,0,0,21915,17933,0,0,0,0,6147,0,0,0,0,0,0,18780,8096,9512,7674,11889,11997,9719,10306,5095,104991,33533,20117,65900,36512,8699,14050,23539,21635,0,0,0,0,0,0,0,0,0,0,0,0,6561
0,0,0,0,0,0,10579,21198,11949,2896,0,0,0,0,0,9812,0,0,0,6969,0,0,21123,2501,4953,1536,44419,3168,1363,0,1782,18585,7858,9129,1798,0,8856,32275,16283,6105,4384,0,2158,4108,7937,11485,0,0,0,0,0,0,0,0,0,3126,0,0,19499,8649,0,0,0,13340,0,8701,17288,13518,38632,0,6378,0,0,44519,0,0,55228,0,27264,27747,6065,0,7157,26185,38434,4027,6460,0,5186,6522,0,0,0,0,0,11950,19348,2660,6336,10435,22369,15385,13186,52751,2581,6640,2141,17007,11445,13975,877,4709,9447,19164,69723,32272,6388,899,7179,11343,9279,61510,70171,16556,49768,5693,62997,18609,0,21326,8933,15483,35795,0,7947,2370,50407,36410,12326,26002,14433,13672,17933,18448,2556,3165,18145,23345,0,21666,10073,4436,7688,8897,23082,17448,4348,4013,17204,8082,0,0,0,0,0,0,0,62494,0,12059,0,0,0,0,0,21527,19580,0,0,0,0,4816,0,0,0,0,0,0,18002,7888,9375,7199,17024,10835,10138,10517,4584,101239,31600,18820,65855,32824,6620,13812,24491,21311,0,0,0,0,0,0,0,0,0,0,0,1150,6250
0,0,0,0,0,0,10374,22434,12233,3195,0,0,0,0,0,9833,0,0,0,7223,0,0,18479,3261,5157,1455,45148,3580,1252,0,1796,18515,8707,11803,999,0,7821,32228,15007,8355,4631,0,1985,4254,8946,11622,0,0,0,0,0,0,0,0,0,3033,0,0,18678,11094,0,0,0,13187,0,9543,16126,13506,42416,0,6304,0,0,45119,0,0,53518,0,27718,27448,5823,0,6513,25316,38916,3761,5930,0,5078,5387,0,0,0,0,0,14413,17753,2556,6364,11026,22636,16143,8957,52495,2519,7232,2966,14729,8581,12856,1293,4983,9799,17039,72904,31795,6047,1061,7304,12331,9783,58920,72160,6430,52136,5792,68408,18882,0,23161,8941,15761,37634,0,7907,1740,48292,32994,12401,27135,9642,14554,18386,16065,1931,3155,20467,22552,0,19024,10945,4448,7335,9086,27188,17591,5479,4245,17586,7452,0,0,0,0,0,0,0,64059,0,11417,0,0,0,0,0,21571,20852,0,0,0,0,4682,0,0,0,0,0,0,18659,7885,9494,6626,18907,10094,10736,10699,3986,95417,30569,18182,65219,33558,7590,14477,19738,20045,0,0,0,0,0,0,0,0,0,0,0,4794,6554
0,0,0,0,0,0,9881,21456,12151,3626,0,0,0,0,0,10003,0,0,0,6147,0,0,14722,2442,5514,1890,45466,3520,0,0,1963,16322,8955,12338,454,0,8003,32119,13456,8165,3878,0,2010,4519,9178,10742,0,0,0,0,0,0,0,0,0,2222,0,0,19581,10540,0,0,0,13319,0,9863,15020,13023,38302,0,6403,0,0,45633,0,0,49538,0,27589,26337,5866,0,6023,23425,39707,3929,5751,0,4599,6807,0,0,0,0,0,14292,16686,2464,5849,11708,24729,17120,8598,51137,2304,6770,1971,13485,9661,12508,1433,5169,9383,21139,72724,29396,5776,952,6503,14140,9561,59573,71675,6673,51841,5323,70895,19797,0,24219,9154,15264,37827,0,7283,1291,43242,26234,11305,27259,13780,14924,18109,16780,1338,3616,19625,26182,0,15272,10939,3529,6573,9959,33071,20496,5660,4005,17659,7402,0,0,0,0,0,0,0,69610,0,10382,0,0,0,0,0,21645,20877,0,0,0,0,4851,0,0,0,0,0,0,17824,7043,8983,6372,20597,8168,10683,10570,4180,90079,28593,18291,65794,31188,6880,14912,17108,19979,0,0,0,0,0,0,0,0,0,0,0,7534,2946
